Title,Body,Labels,Milestone
M0: Initialize repo scaffold,Create Angular 20 + M3 workspace; verify local dev.,chore,M0 — Repo & CI
M0: CI build/test,Set up CI to lint, test, build for PRs and main.,chore,M0 — Repo & CI
M1: Upgrade Angular core to v20,Run ng update @angular/core@20 @angular/cli@20.,feature,M1 — Angular 20 Baseline
M1: Standalone bootstrap,Switch to bootstrapApplication and functional providers.,feature,M1 — Angular 20 Baseline
M2: Material 3 theme,Implement theme.scss light/dark; adopt MDC components.,design,M2 — Material 3 UX
M3: Unit tests to Jest,Replace Karma with Jest; configure presets.,test,M3 — Tests & Coverage
M3: Add Cypress e2e,Add smoke tests; integrate optionally.,test,M3 — Tests & Coverage
M4: Perf budgets,Adjust angular.json budgets; lazy-load routes.,feature,M4 — Performance & A11y
M4: Accessibility sweep,Contrast/labels/focus; axe checks.,feature,M4 — Performance & A11y
M5: AWS deploy pipeline,Configure S3+CloudFront + OIDC for GH Actions.,feature,M5 — AWS Deploy
M6: Docs & handover,Finalize README/CHANGELOG/runbooks.,documentation,M6 — Handover & Docs
